

N,290.981,0.000,-133.846,0.000,
B,-552.340,33.779,103.330,
E,261.363,-30.060,30.589,
S,-0.004,-3.719,-0.074,
B,552.340,-33.779,-103.330,
A,-444.778,-543.525,55.704,
C,-114.775,707.359,-51.464,
MW,7.213,-130.055,99.090,
E,-261.363,30.060,-30.589,
D,262.191,277.011,61.492,
F,-0.828,-307.071,-30.903,
E,-0.000,-0.000,0.000,
V,-7.213,130.055,-99.090,
P,96.585,-136.449,67.899,
Q,7.088,0.517,0.358,
W,-96.460,5.878,30.833,

N,-216.906,0.000,98.654,0.000,
B,411.648,24.966,-75.897,
E,-194.746,-22.204,-22.812,
S,0.003,-2.762,0.055,
B,-411.648,-24.966,75.897,
A,331.429,-405.025,-41.281,
C,85.518,525.530,38.176,
MW,-5.299,-95.539,-72.792,
E,194.746,22.204,22.812,
D,-195.362,206.405,-45.818,
F,0.616,-228.608,23.006,
E,0.000,-0.000,-0.000,
V,5.299,95.539,72.792,
P,-70.952,-100.236,-49.879,
Q,-5.207,0.380,-0.263,
W,70.860,4.318,-22.650,

N,863.128,105.078,440.521,0.000,
B,-1578.116,-254.942,-547.458,
E,714.988,149.626,106.933,
S,0.000,0.238,0.005,
B,1578.116,254.942,547.458,
A,-1259.198,-1549.798,-18.303,
C,-280.376,599.933,0.316,
MW,-38.542,694.923,-529.471,
E,-714.988,-149.626,-106.933,
D,716.626,757.133,168.070,
F,-1.638,-607.507,-61.137,
E,-0.000,-0.000,0.000,
V,38.542,-694.923,529.471,
P,-516.084,729.090,-362.805,
Q,-37.875,-2.761,-1.914,
W,515.417,-31.406,-164.752,

N,863.128,0.000,440.521,0.000,
B,-1577.157,60.244,-538.657,
E,714.034,-63.850,98.208,
S,-0.004,3.605,-0.072,
B,1577.157,-60.244,538.657,
A,-1228.324,1511.706,-16.385,
C,-311.729,-782.454,-12.546,
MW,-37.105,-669.008,-509.726,
E,-714.034,63.850,-98.208,
D,715.902,-756.367,167.900,
F,-1.867,692.518,-69.692,
E,-0.000,0.000,0.000,
V,37.105,669.008,509.726,
P,-496.838,-701.901,-349.276,
Q,-36.463,2.658,-1.842,
W,496.196,30.235,-158.608,

N,-147.922,103.338,89.896,0.000,
B,281.440,-212.831,-83.238,
E,-133.525,103.629,-6.775,
S,0.007,5.864,0.116,
B,-281.440,212.831,83.238,
A,198.117,241.467,-34.943,
C,89.930,-573.422,42.467,
MW,-6.607,119.124,-90.762,
E,133.525,-103.629,6.775,
D,-134.187,-141.772,-31.471,
F,0.662,245.401,24.696,
E,0.000,0.000,-0.000,
V,6.607,-119.124,90.762,
P,-88.467,124.980,-62.192,
Q,-6.493,-0.473,-0.328,
W,88.353,-5.384,-28.242,

N,-13.734,9.529,8.135,0.000,
B,26.290,-15.714,-5.913,
E,-12.556,6.028,-2.219,
S,-0.000,0.157,-0.003,
B,-26.290,15.714,5.913,
A,23.991,-29.327,-2.849,
C,2.636,19.691,1.567,
MW,-0.337,-6.078,-4.631,
E,12.556,-6.028,2.219,
D,-12.575,13.286,-2.949,
F,0.020,-7.258,0.730,
E,0.000,-0.000,-0.000,
V,0.337,6.078,4.631,
P,-4.514,-6.377,-3.173,
Q,-0.331,0.024,-0.017,
W,4.508,0.275,-1.441,

N,-209.516,279.816,192.869,0.000,
B,402.205,-561.272,-195.213,
E,-192.705,267.689,2.070,
S,0.016,13.767,0.273,
B,-402.205,561.272,195.213,
A,248.524,301.505,-66.142,
C,169.442,-1146.956,87.449,
MW,-15.761,284.179,-216.520,
E,192.705,-267.689,-2.070,
D,-193.980,-204.944,-45.494,
F,1.274,472.633,47.564,
E,0.000,0.000,-0.000,
V,15.761,-284.179,216.520,
P,-211.045,298.151,-148.364,
Q,-15.488,-1.129,-0.783,
W,210.772,-12.843,-67.373,

N,-10.852,14.265,9.422,0.000,
B,21.053,-24.323,-7.130,
E,-10.201,9.714,-2.286,
S,-0.000,0.344,-0.007,
B,-21.053,24.323,7.130,
A,21.260,-25.973,-2.778,
C,0.176,8.562,0.914,
MW,-0.383,-6.912,-5.266,
E,10.201,-9.714,2.286,
D,-10.203,10.780,-2.393,
F,0.003,-1.066,0.107,
E,0.000,-0.000,-0.000,
V,0.383,6.912,5.266,
P,-5.133,-7.252,-3.609,
Q,-0.377,0.027,-0.019,
W,5.126,0.312,-1.639,

N,-148.821,448.086,280.798,0.000,
B,293.927,-888.203,-304.655,
E,-145.130,419.943,23.456,
S,0.024,20.173,0.401,
B,-293.927,888.203,304.655,
A,118.895,141.037,-82.715,
C,199.683,-1473.687,116.691,
MW,-24.650,444.447,-338.630,
E,145.130,-419.943,-23.456,
D,-146.680,-154.971,-34.401,
F,1.550,574.915,57.857,
E,0.000,0.000,-0.000,
V,24.650,-444.447,338.630,
P,-330.068,466.299,-232.037,
Q,-24.224,-1.766,-1.224,
W,329.641,-20.086,-105.369,

N,-18.042,53.129,31.396,0.000,
B,36.421,-91.923,-25.264,
E,-18.377,37.286,-6.102,
S,-0.002,1.508,-0.030,
B,-36.421,91.923,25.264,
A,45.698,-55.733,-7.492,
C,-7.944,-12.141,0.552,
MW,-1.334,-24.049,-18.323,
E,18.377,-37.286,6.102,
D,-18.328,19.364,-4.299,
F,-0.048,17.922,-1.804,
E,0.000,-0.000,-0.000,
V,1.334,24.049,18.323,
P,-17.860,-25.231,-12.555,
Q,-1.311,0.096,-0.066,
W,17.837,1.087,-5.701,

N,-0.915,574.209,354.151,0.000,
B,22.359,-1131.807,-405.369,
E,-21.473,533.449,50.739,
S,0.028,24.149,0.480,
B,-22.359,1131.807,405.369,
A,-128.880,-163.984,-87.363,
C,183.824,-1555.328,129.622,
MW,-32.585,587.505,-447.628,
E,21.473,-533.449,-50.739,
D,-22.977,-24.275,-5.389,
F,1.504,557.725,56.127,
E,0.000,0.000,-0.000,
V,32.585,-587.505,447.628,
P,-436.310,616.391,-306.724,
Q,-32.021,-2.334,-1.618,
W,435.746,-26.551,-139.285,

N,-0.194,118.416,68.221,0.000,
B,6.429,-206.337,-58.902,
E,-6.231,84.196,-9.245,
S,-0.004,3.724,-0.074,
B,-6.429,206.337,58.902,
